Anonymized Message,Valence1,Valence2,Arousal1,Arousal2
Is stoked because my best friend comes home tomorrow!!!!!,7,8,7,8
*~my life has got so much better in the past 4months... i couldnt ask for more.. soo greatful~*,7,9,3,1
yall need to shut ur mouths cause im fixing to slap the shit outta u 2..,4,2,5,4
goes home on Monday. The mountains have been fun.,6,6,2,1
Tireeeeeeedddddd,4,4,2,2
i would like you to comment on jut in my head,5,5,2,1
Is anyone feeling like killing <PERSON>..??,4,5,4,4
pooped out!!!! and tomorrow is another full day....,4,4,5,7
fuck fuck fuck,4,1,4,3
tonight. rave. :]],6,7,3,4
"Met a girl, fell in love, glad as i can be met a girl, fell in love, glad as I can be But i think all the time, is she true to me? Cuz there's nothing in this world to stop me worryin bout that girl",5,5,3,3
"Well, since I can't sleep, I might as well clean the house. I've already been awake for more than 33 hours, seriously, what the fuck... Maybe its becuase it's my birthday, woohoo.... 27, I tell myself its just another day but, thats not what I'm really thinking...",4,2,4,3
Hi,5,5,2,1
im addicted to these facebook games,5,5,2,1
so here is my question why is it so hard to find someone to trust to believe in and that also believes in you and trust you,4,2,2,3
Studying and cleaning and packing all long time still,5,5,2,1
I'm totally out of invites for Mafia! I'll get you all asap.,5,5,4,3
thanks to all my friends buat ucapan happy birthdaynya he3 traktirannya nyusul ya ha3,6,6,4,1
ugh... so on second shift schedule..,4,4,2,3
"Your voice was the soundtrack of my summer        Do you know youre unlike any other?        Youll always be my thunder, and I said        Your eyes are the brightest of all the colors        I dont wanna ever love another        Youll always be my thunder        So bring on the rain        And bring on the thunder",7,6,2,2
thinks that a person shouldn't wait until high school to show their true colors,5,4,2,3
"Today, tomorrow, Friday, Saturday, then move in day!!!",6,7,6,5
"love is confusing...a guy tells u ur gorgeous and he turns the lights off ,)",5,6,3,3
"here is a question I got stumped on for a little while taking a quiz. can anyone answer it? The three great unifiers of Japan were Oda Nobunaga, Toyotomi Hideyoshi, and Tokugawa Ieyasu. A popular poem exists about these unifiers. It reads:        If the bird does not sing, kill it.        If the bird does not sing, coax it.        If the bird does not sing, wait for it.        Which unifier coaxed\ the bird?\""""",5,5,1,1
"Does anyone know, what time the game is at ?",5,5,1,1
"I'm not sure I want to hear what you guys might come up with lol But, I'll go for it! If you read this",5,6,5,4
"I'm ready for spring. This cold weather and dark evenings has kept me rusting in the house. I can't wait for canoeing, fishing, camping, outdoor sports....",6,4,3,3
Now on transit in Dubai...8 more hours to HOME!!!!  Thanks to all the well wishers! :O),6,7,6,7
My profile pic rocks,6,6,1,1
Anyone copy down all the things we were supposed to write about in the letter in English?,5,5,2,1
"is exausted...people,dogs,crabby cat, kid that needs a spare set of keys...i need a vacation!",4,4,4,4
"dear god, find me someone that will do me hard up the poop shoot",5,5,3,3
_:],6,6,1,4
you can be the tear that I cry if we ever split. <3,6,6,2,3
"Should I be ashamed of enjoying 1980s Conan the Barbarian comic books? Their so cheesy and over the top sword and sorcery\ yet its so much fun.\""""",5,6,3,1
my birthday sucked!!!,3,3,6,7
Babysitting... laughs,5,4,2,3
is doing some last minute packing!,5,5,5,4
relaxing at home... maybe some wine!,6,6,4,4
Thank You Everyone for the Birthday wishes :o),6,6,3,4
"I don't mean to brag, but I make some mean raspberry lemonade.",6,6,3,1
I bombed my math final (C+) so now I have to write this sad face emote. :-(,4,4,3,1
Happy Independence Day to ALL..........,6,6,2,3
is slightly annoyed that people keep hitting him with odd-shaped pillows.,4,4,3,3
Your thoughts maketh your world.,5,5,1,1
yay i didnt do my presentation 2day but gotta do it 2morrow dat suxs so bad,4,4,2,1
today on Ignoreland: doing nothing. not the best day for it.,4,4,2,3
So tired of writing paper after paper. It makes me wonder how my masters program will be.,4,2,2,3
No one dies a virgin coz lyf badly fukssss :( :X,4,2,3,5
Thanks to everyone who wished me a Happy Birthday. I wills plays mys guitars extras fast for you.,6,6,3,2
Reading Howls Moving Castle!! Must get my family to watch the movie with me one day!,6,6,7,5
thanks everyone for the birthday wishes!   Thanks and i had a good time!,7,7,6,5
"An American classmate who was learning Tagalog told the taxi driver, Ã¢â‚¬Å“Manong, pwede kant*t?Ã¢â‚¬Â (what he wanted to say was for the driver to drop him off at the corner)",5,5,2,1
cant wait enough to see my son home..............,6,6,1,5
is watching 500 Days of Summer...,5,5,1,3
my little sister is sitting in a ball rocking back and forth...,5,5,1,3
"also, I appreciate the universe's complimenting my taste in collaborators, but if one more ex leaves me and then directly starts dating someone I am doing a show with, I think I am going to lose it. Two in a row!",4,3,4,4
I know my best friend is having the baby but I have been anxious since this morning I can not wait any longer for baby port!!,5,4,6,5
"Looking for a bassist, drummer and possibly a 2nd guitarist for our band, anyone want it? :D",6,6,4,4
is goin house hunting today.,5,5,1,1
thanks everyone for the birthday wishes or whatever you call them (:,6,6,4,3
Jonsi in concert October 22.  I have not been this excited in a long time.,7,6,2,5
"WHAT TURN DO I TAKE NOW? ONLY GOD KNOWS THE RIGHT ONE, I PRAY I HEAR HIM CLEARLY AND MAKE THE RIGHT ONE. FRIENDS AND FAMILY PRAY FOR YOUR BOY .",5,4,4,6
"If you have a wonderful husband, fiancÃƒÂ© or BF that works hard to provide for you and would do anything just for you and your family, then repost this as your status to give the honest well behaved men out there the recognition that they deserve. Because great men are few and far between, and I have one!",7,9,4,3
I am not afraid to act upon my dreams because I know that my dreams are the keys to my success and the doorway to my greatness....Ã¢â„¢Â¥Ã¢â„¢Â¥Ã¢â„¢Â¥,6,8,3,3
I just confided in someone:') Lmao! It was one of the happiest moments of my very happy life!:'),7,9,4,5
whoo i FINALLY got to meet the other leah...she is so adorable!,7,7,6,5
"Finally, home at last!",6,7,6,5
"thank you you guys, i appreciate all the happy birthday\s\""""",6,6,3,1
There are those among us who are blessed with power to save what is loved by another. But powerless to use this blessing for love themselves.,4,3,3,3
i brought a real coffee and nearly one of every slice in the coffee shop today!! yum yum yum (yum yum!) but i did share,6,7,5,6
bored....,5,4,1,3
the gargoyle has landed,5,5,2,1
... thank guys... Ã¤Â»Å Ã¦Â¬Â¡Ã¦Æ’Â³Ã¥â€â€Ã¨Â®Å Ã§Å“Å¸Ã©â„¢Â³Ã¤Â¼Â¯Ã©Æ’Â½Ã¥â€â€Ã¥Â¾â€”Ã¦Â´â€º......,5,5,2,3
I still need you help with my horse stable!! I need 6 more nail and 4 more horseshoes. Thanks!!!,6,5,6,6
9th day                Dedicated to Goddess Siddhidatri form of Durga the day is also observed as Mahanavami in many parts of the country. This form of Goddess Durga showers knowledge which makes each soul pure. People can wear Red/ White colour on this day.,5,5,2,1
Football V.S. Moniteau tommorow,5,5,1,1
"I LOVE YOU ALL! THANKS FOR MAKING THIS THE BEST BIRTHDAY EVER YOU GUYS AND A SPECIAL THANKS TO MY BABY CRYSTAL FOR MAKING IT SO POSSIBLE. I WANNA TOAST TO THE BEST FRIENDS AND FAMILY A PERSON COULD ASK FOR! I LOVE YOU ALL, GOOD NIGHT!",7,9,7,9
"Incredibly tired but excited cause I get to go home soon!!!  Granted, it's only two weeks but who cares!",6,7,6,7
in idaho chillin with the fam for weekend.  love ya all!  * I am ninja material!...-even if i have to duck through things and takes extra second to squezz in small places :P,6,7,5,5
hmmm.. :),6,7,2,4
"Happy for someone, although hearts crying loud. Told meself this will happen sooner of later. You stupid f***...you followed your heart again! This is what you'll get for ignoring the truth. They say Truth will set you free.\ but they didnt say it'll also beat the heck out of yo' ass. Happy...but hurting. Still here...still here. FOR YOU! Tnx\""""",4,2,4,7
IT'S MY BIRTHDAY I'M FINALLY 14!,6,7,7,8
"Hi everybody! Just saying hi, real quick. bye now!",6,6,4,5
back in semenyih!!,5,6,6,6
is in her garden planting new seeds... im sad to see the old ones die..but the beauties of the new growth will overwelm my saddness...time is all i can depend on,6,5,3,3
dam just when i was ganna go back to school,4,4,3,2
watchin Ferd dance lol luuuvvvvvv this show,6,6,4,3
I am really digging devin Moore #45...he's bein productive 2nite for the colts...I wonder what he can do in a real game,6,6,2,2
subway w/ my BFF <PERSON. <333.......oh & <PERSON> unfortuantely.,5,6,2,3
i need a doomkal?,5,5,2,1
"Call the Nestle Crunch Hotline at <PHONE>, When you are asked if you want to continue in English or Spanish, just wait quietly for about 10 seconds and you will smile. Promise! Keep going and press 4. Listen to the options...then press 7. don't give it away if you comment on this!",5,6,2,4
is sick of the Dodgers' crap.  Why do they have to get my hopes up every year?  They're garbage.  Manny is garbage.  Their pitching is garbage.  They haven't been fun to watch for two months now.,3,3,3,3
is happy camp is over.  Thanks all for the birthday wishes!!!,7,7,6,6
Two more days till we strike at work. Im so ready for this.,6,6,3,1
absolutely hating homework and the fact that I left EVERYTHING to the last minute........ nice vacations though,4,3,3,3
Gettin my tattoo today so excited :),7,7,5,4
thinkin bout everything,5,5,2,1
(12r4-5r2+8r-15)+(7r4+5r2+2r-9)=...,5,5,1,3
"well, we're in the hospital. my poor baby has had two spinal taps. we still dont know whats wrong....",3,1,2,3
is asking...can you keep a secret and never say it again?,5,5,2,3
There's been something on my mind for a while now....,5,5,2,3
thanks to everbody that wished me a happy birthday today! @ <PERSON> : I'm lucky enough to avoid a Ms. Fry impromptu song :P,6,7,5,5
off to work F.B. see you all later.,5,5,2,1
"copy this to your status and see what people rate you! 1=crazy, 2=i'd marry you, 3=talkative, 4=sarcastic, 5=i miss you, 6=goofy, 7=moody, 8=dumb, 9=mouthy, 10=spoilt, 11=random, 12=hot, 13=funny, 14=fit, 15=amazing, 16=tough, 17=cute, 18=gf/bf type, 19=player, 20=i love you, 21=gorgeous, 22=the best , 23=cool, 24=sweet, 25=intriguing",5,5,1,4
Gym time...then I need to fix my mohawk....hair on the sides is getting a little to long...just have to find the electric razor.,5,5,2,2
"ughh, crazy..i need some starbucks.. STAT!",5,4,6,4
S-M-I-L-E  Ã¢â„¢Â¥ Ã¢â„¢Â¥ i wanna go out and play! Ã¢â„¢Â¥,6,6,6,5
is slowly going loony,4,4,2,1
Family wax dayy,5,5,2,1
Life's better bein' a pirate.,5,5,2,1
"PRAYER ALERT!! For a FB friend's daughter AUDRIN KING. Hold the family up in prayer today. Her 2 year old daughter was just diagnosed with Stage 4 cancer. If you see this post, even if you dont know her, God knows... Please post to your profile for 1 hour and say a prayer for the little girl and God Bless you for doing it! (How could any mom NOT repost?) PRAY, please!!!!",6,6,7,6
me hang-over!!!!!!,5,4,7,8
I know i`m not perfect but i`m so close it scares me..:),6,7,3,2
check out the vid below :),6,6,2,1
Thanks everone for wishing me happy bday. Well I am going to go out this weekend to let lose. bad day at work,6,4,4,1
I am my sisters keeper.,5,5,1,1
"Two may talk together under the same roof for many years, yet never really meet; and two others at first speech are old friends",5,5,2,1
Is going to 2sea for 2 days with his big brother any 1 need anything from there ?,5,5,2,1
Already tired. Been quite the strenuous day,4,4,2,3
Stupid computer still isn't fixed. Text me @ <PHONE>Hopefully it will be working by this weekend.,4,4,2,1
@ home...just chillin...I needed to come home...,6,5,2,3
"if i know what love is,it is because of you....",6,8,2,3
"modern warfare 2, I will have it soon!",6,6,6,4
So...who wants what for Xmas now that Turkey day is over?,5,5,2,1
"is getting sick of explaining her hair, her summer, and her fear of driving over and over. on the bright side, her love life has only been prodded at once in the two hours shes been there",5,3,3,3
"Confront the dark parts of yourself, and work to banish them with illumination and forgiveness. Your willingness to wrestle with your demons will cause your angels to sing. Use the pain as fuel, as a reminder of your strength.Ã¢â‚¬Â",7,7,2,1
Remember to VOTE. 06/08/2010,5,5,1,3
"The Lord will conquer your enemies when they attack you.  They will attack you from one direction, but they will scatter from you in seven!  Deuteronomy 28:7",6,6,1,4
O mi wrd!!!! am sooooo tired from job-shadowin! Da KFM studio is kick-ass! Luv da grafitti wall,5,8,5,7
"So, I should specify, I am NOT alone. <PERSON> did travel with me.  I was just so absorbed in my own self pity, I forgot to mention he wasn't too thrilled either.  But, the luggage has been found, it is on its way and I am going to take a nice long bath and drown my sorrows in it!  Ooh and they have some good smelling shampoo and stuff!  I am psyched!",6,7,5,5
firstlove now published..! pki abangan on BoOksie web.. hope you like it!,6,6,5,4
"what a great day i had today. found out my raise took into effect for fridays paycheck. won the check pool for $176. had a great cake class and made a wonderful cake. and i think i am getting the hang of my new job at work. not too shabby! oh and josh is burning wood and dring beer friday night, he said whoever wants to stop by is more than welcome just bring your drinkage and let me know if you need directions!",7,9,4,4
i just ran a bunch. it was so fun,6,6,3,1
I like your hips,6,6,1,1
"The presence of a friend is a coversation itself\\""""",6,5,1,1
"97% of teens would cry if they saw Robert Patterson (Edward Cullen from Twilight\) standing on top of a sky scraper about to jump. If you're one of the 3% that would sit there""",4,3,1,3
"99 cent beer for happy hour at gyu-kaku is the shit ,-D",7,6,4,3
I wish they would show the cheerleaders more between plays...,5,5,2,3
ah i love steve nash!,6,6,5,4
anyone know a reputable independant communittie or thougth of what i should do?,5,5,3,1
"Angle of god,  my guardian dear,  To whom God's love commits me here, 	Ever this day be at my side, To light and guard, to rule and guide.  	Amen.",6,5,1,1
"Getting over painful experience is much Like crossiiing monkey bars. you have to let go at some point in order to move forward.\ :) --TARAAAAAYYY!\""""",6,7,5,7
not to sure if i like facebook,5,4,2,1
About to go run on this beautiful day then working with the tiny babies tonight :),7,8,3,1
"Okay, now the dog is bugging out. He must be bored as hell cuz now he's playing fetch wit a shitty diaper. LMAO What happened to the stick?!",6,5,6,5
"Had Greek food today, it was great",7,6,2,1
"is excited to get away for the weekend with <PERSON>, <PERSON>, <PERSON>, and <PERSON>.",6,6,4,1
is annoyed at her stupid neighbors for practicing piano @ 10 o'clock!!! go 2 sleep u freaks!,3,2,6,6
Non-dairy creamer is flammable.,5,5,1,1
had a blast at Flirty Girl Fitness!,6,7,6,4
well yay stupid at&t broke my internet =/,4,4,3,3
knows I've done well when I terrify people on my husband's page.....I will sleep well tonight :),5,6,3,3
wondering which of the 4 movies I hire to watch first        1. The New Daughter (Thriller) - Kevin Costner        2. Crazy Heart (Drama) - Jeff Bridges & Maggie Gyllenhaal        3. The Bounty Hunter (Action) - Jennifer Aniston & Gerard Butler        4. Cirque Du Freak: The Vamipire's Assistant (Family) - Willem Dafoe & Salma Hayek,5,5,1,1
done with everyones games!!!!!!!!,4,3,9,9
had an usual day and night with <PERSON>,5,5,2,1
I had a great day with <PERSON>and family today!,6,7,5,4
is addicted to Dragon Age.,5,5,1,1
"OMG, I was just singing along to Taylor Swift. What is WRONG with me?!?!",4,5,7,8
wishes she was going to North Carolina with her gorgeous sisters<PERSON> and <PERSON>.,5,5,2,1
Tengen Toppa Gurren Lagann... it will make any day better,5,6,2,1
A Lonely September Ã¢â„¢Âª,5,4,1,1
"It is for the best consideration of that child.  If the couple were seperated, then he/she would be saddened that the father/mother might not be around as much as they are needed.  This is bad for the child.  Most of the times when miscarriages are reported, the couples are not married.  Again this isn't bad, but God has a purpose for you in life, and that could be His way of telling you to reconsider your choices.",6,4,2,3
I hate getting the stomach flu i would rather have a severe cold for a week,3,4,2,1
OOO! OOO! OOO! OOO! Come On! <URL>,5,5,6,8
<URL>,5,5,1,1
"Ã¢â‚¬Å“With a full glass and an empty heart, I search for something to occupy my mindÃ¢â‚¬Â",5,3,2,1
the boring life is back :( ...,3,3,2,3
ok this is big for mi. its been one week since i smoked a cig. im so happy for myself. plus  i walked 2 miles today . gotta walk 2 more tonite,8,8,3,3
sometimes people put up walls,5,4,1,1
"Nevr criticize ur bf's faults,rembr it may hv been these litle imperfections dat stoped him frm geting a beter gf....",5,6,2,1
flying back to bangkok for a shoot...,5,5,1,1
loves her favorite roomy <PERSON>,7,6,2,1
"<PERSON>broke her leg,oops she won't want to do that again!!!!!!!!!!",3,4,8,9
Varsity Athlete,5,5,1,1
"FACEBOOK TRICK: press up,up, down, down, left, right, left, right, B, A, Enter key, then left click and magic crcles will appear. the only way to get rid of them are to log off or refresh the page...IT WILL WORK! put this as your status if it works. <-- freaked me out so bad. :O",5,5,4,5
What's on your mind?,5,5,1,1
severe anger,3,1,2,3
"JUST GOT LAID OFF AND NEED TO FIND SOME WORK, WHAT A NEW YEAR",4,1,5,8
"Thanx everyone, rite now i'm with <PERSON>, <PERSON>, and <PERSON>",6,5,2,1
"Is there some kind of tutorial for Facebook?  If so, will someone please send it to my Grandma?  She needs a little extra help. (Just kidding, g-ma-Chris and I will keep helping you.)",5,5,4,2
SICK AGAIN !!!! HATE IT !!!!!,3,2,8,9
Bmx starts next week.,5,5,1,1
I DID NOT WANT SNOW AS A BIRTHDAY GIFT TODAY...... I WANTED A PONY......,4,3,5,7
homework SUX!!!! WHY DO TEACHERS TOURCHER US THIS WAY?!?!?!?!?!?!,4,1,8,9
Through god all things are possible........ yet our greatest treasure....... most turn away....... they turn away gods love....... i say that we have a purpose and that through god we can accomplish it........... dont turn away from the savior........ he will make like good....... peaceful......... as the world hated him they will hate us as christains.......... i speak for my self that when he calls my name,5,5,2,3
Zzz... SOOOOOO tired... Having 3 camps in 1 week... I think no need to workout liao...,4,5,3,3
i really need a house cleaner this is a disaster!!!!!!!!!,4,3,8,8
falling asleep to my country music <3 good night!,6,7,3,5
I'm selfish,4,4,1,1
"All night with <PERSON> and <PERSON> at <PERSON> to see Combichrist.  FUCK I LOVED THE SHOW.  Absolutely need to pass out, long work week + six hour concert = TIRED AS SHIT",5,7,5,6
manu sailing smoothly :),6,7,3,3
"hot, scared, nd a lil sweaty.  all in all it was a good day.",6,6,2,1
"I'm stronger because of my hard times, wiser because of my mistakes, happier because of my sad experiences, and smarter because of my moments of confusion",7,7,2,1
hi everyone i have nothing to say so i will say hi everyone,5,5,3,1
"I've got a soul that cannot sleep\ ! :D\""""",6,6,5,4
"just got home, had a fun time running today",6,6,2,1
"If you died today, who would be taking care of the arrangements and would he or she be paying for it...that is what is on my mind.  Due to my new profession, I am currently welcoming any and all death jokes (okay, maybe not all, I would rather not have my",5,5,2,1
is bored and many going to start her science project,5,4,1,1
"had a great time at the wedding! Yankees up 2-0, big game tonight i'm nervous as hell! i wanna spank that damn rally monkey tonight!",6,7,6,5
We begin from the recognition that all beings cherish happiness and do not want suffering. It then becomes both morally wrong and pragmatically unwise to pursue only one's own happiness oblivious to the feelings and aspirations of all others who surround us as members of the same human family. The wiser course is to think of others when pursuing our own happiness.,5,6,2,1
Sleepy,5,5,1,1
"loving myself is simple, but letting someone else love u is so hard.",4,4,2,1
"1 final down, 1 to go!",5,6,5,4
4 days til Indiana:),7,7,2,2
there is a fine thin line between wrong and right.,5,5,2,1
Happy Thanksgiving,7,5,2,1
<PERSON> u have issuse lmao,5,6,3,2
this is how you remind me,5,5,1,1
down in MD in my sis.. with a big cockatoo on my hand.. while typing.. had a great day with our cousin.. wish I never had to go back to work.. dreams.. dreams.. oh and we got<PERSON>.. yippe!,7,7,5,3
drama...drama...and more drama....I am done!,4,4,6,5
"Ughhh, I wish I could stop coughing already! Being sick is horrribllleee. About to watch some television with<PERSON> then falll asleeepp. :) <3",4,7,3,4
Ind Vs Srilanka - A Thrilling match in progress....India need 65 ..5 wickets in hand..,5,5,3,2
needs a lobotomy!,4,5,6,4
"In the land of the blinds, One eye man is a king.",5,5,1,1
had my gps for less than a day and I already broke it. Good thing Garmin is nice and going to send me a brand new one.,6,5,2,1
Do you ever feel like you have a lot of people in your life but very few who understand you?,4,4,2,2
i laugh again why the fuck was i upset in the first place i wasnt even shocked wow im so over that :) i am very happy today it was just ordinary day again,6,8,3,3
"Ã¢â€¢â€Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢Â Ã Â³â€¹Ã¡Æ’Â¦Ã¢ËœÆ’Ã¡Æ’Â¦Ã Â³â€¹ Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢â€”	It's Sons Week! If you have a beautiful son or sons that you	love more than you can describe, copy and paste this to your	status for a little while, but hold them in your heart for a lifetime	Ã¢â€¢Å¡Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢Â Ã Â³â€¹Ã¡Æ’Â¦Ã¢ËœÆ’Ã¡Æ’Â¦Ã Â³â€¹ Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢Â",6,7,4,4
Today has to be the most boring day of this entire summer hands down. :/,4,3,2,4
Happy Happy Happy !!!!,7,9,7,7
Relationships are like glass. Sometimes it is better to leave them broken than try to hurt yourself putting it back together......:),5,6,3,2
uhhh! this homework! its killing me.,4,3,5,5
Thanks so much for the birthday wishes everyone!!,7,6,6,5
I hope I get my voice back before saturday.,5,5,2,1
"I am perfectly imperfect, beautiful in my flaws, sure of my insecurities, absolute chaos..a beautiful disaster",5,7,2,3
of course not! youre brain washed!,5,4,5,5
school is so boring is it to early to want it to be spring break,4,4,2,1
"Miss <PERSON> (as I hand out the new spelling lists): Don't lose your spelling lists because there are no more copies of these bad boys.\  Class (whispers and head bobbing): \""Bad boys""",5,5,2,1
I'd very much like some peach pie or peach cheesecake right now.  Somebody make this happen plz.,5,5,2,1
Common tests are 0000vvverrrrrrrr :DDDDDDD,6,8,4,7
Almost feeling better!! damit hurry up already with this cold!!! so I can drink this weekend!!,6,6,5,7
Gonna clean out my car today... maybe they will take it as a trade in later this week.. maybe not,5,5,1,1
"in brawl the two excuses my brother uses after he loses is im not even trying\ and \""you got lucky\"".\""""",5,4,2,1
3hrs  2 go n then im 14,5,5,1,1
think am falling in love with Mauritius ...and its cultural diversity..,5,6,1,3
is looking forward to great weather & some waves for wednesday,6,7,2,1
"when you got nothin', you got nothin' to lose.",6,5,2,1
"can't sleep, again.",4,4,1,1
Ã¢â„¢Â«i'm doing this for me so **** the whole universe!Ã¢â„¢Â« :),4,7,4,5
SOUTHERN HOSPITALITY! AIN'T NOTHING LIKE IT! EXCEPT NO SUBSTITUTES! LIVE AND LOVE IT!,6,8,8,9
would love to go back to bed.,5,4,1,1
"i'm gonna stick through all my plans for now on, nothing and no body is gonna keep me away from thats!!",6,6,6,5
Happy 4Th of July! See you girls tomorrow!xo,6,6,6,5
Is in a slipknot mood >:o,5,5,2,4
"is... HAPPY BIRTHDAY, ADAM!!! and ha ha ha, FSU :p......",6,7,7,8
just spent her day at the beach (:,6,7,4,2
Did you know that you can make scrambled egg in the microwave? Bachelor tip #77.,6,5,2,2
What do you know? The first post I see on MLIA is about Harry Potter. MLIA.,5,5,1,1
"If the answer lies within, then why is there confusion? Are we blinded, deaf, or just ignorant to the inner voice?",4,3,2,3
<PERSON>add me on xbox live !,5,5,6,4
Thank you all who wished me a Happy Birthday..Definatly had a good one  to jump start the year just right! Hope everyone had a Bangin' New Year and God bless all,8,7,4,4
"I have really found it difficult sometimes to be the person that GOD wants me to become. Its a shame that the people who should be supportive are the ones who try their best to tear you down. I changed me to make other people feel better when it was never about them. Always remember that when dealing with GOD, OBEDIENCE IS BETTER THAN SACRIFICE!!!\\""""",4,4,5,8
"you played me till i left, now theirs nobody left to hear your complaining-- im gone. and all your hearing is your own damn echoes, and im gone and your all alone hearin your own damn echoes. disgusted with trust, ill trust no one no more. just went with the flo, found myself on the floor.",3,2,2,1
got my learners permit thursday. ha i forgot to post it then x] its totally sweet. i cant wait until my mom puts me on her insurence so i can drive all around tulsa!,6,7,5,4
LIFE HAS NEVER BEEN BETTER!!!!!!!,7,9,8,9
lost his damn phone ...,4,4,3,3
"ITS HIGH TIME I ADDED PPL I WANT TO ,TO MY FRIEND LIST.",5,5,3,5
Alright long day at school!! Now its time to run jum hurdle and climb!! Goddamn I love Parkour!!,7,8,7,8
"Glad to see everyone is finding their families\.\""""",6,5,2,1
Love is gigantic and unspoken.LOVE IS BLIND BUT WE ARE NOT BLIND,5,6,4,5
"i'm a supergirl, and supergirls don't cry...or do they? or am i not a supergirl at all??",5,4,2,4
LYL,5,5,1,1
Help!! I'm trapped in the conference call that will never end!  Rounding hour 3.,4,4,4,5
new music,5,5,1,1
About to go to a movie wit charolatte lol,6,6,3,1
ggfdfdfdfdf,5,5,1,3
the third crossroad must be the most difficult.... hold on to the memories or let go to start anew?,5,4,1,2
"I'm having a bad I miss <PERSON> day\. For no reason...nothing triggered it...kids aren't driving me too crazy. I just miss his laugh""",4,2,2,2
good bye grandma.. i hope u reach a better place.. we love u.. :'(,3,2,2,3
Misses <PERSON>,4,5,2,1
I want 2 thank everyone 4 wishingme a happy bday...luv u guys,6,8,3,2
in need of insects cant bye any yeat,4,5,1,1
they said it would't be easy... but no one told me it would be this hard...,4,3,2,2
"PEACE I can picture in my minds eye a world without conflict, a world without war. Then I can picture us attacking it, because they would never expect it! \\^/",4,4,3,4
Definitely absolutely doubting the certainty,4,5,1,2
Interesting video for a man with butter fingers.,5,5,1,1
Many blessings to you all on this HOT Monday!,6,7,4,5
Cmon Arsenal!! It's now or never..show them wat we are made off...,6,6,5,5
i hate the way she smile. so plastic! so stupid and yet so pathetic. CHAR!,3,1,6,6
"Dare to take chances.,)",7,7,3,3
This day could not possibly get any worse! :/,3,2,4,5
Real Pirate Wenches suck c0ck like it's gunna cum rum!,4,4,5,5
is ready for delicious Christmas cookies a la Lexi!,6,6,4,5
cuddling with lukas in my bed hes so fluffly!!! but only if.....,5,6,6,6
Well no final decision til the 26th....=( judge got pissed off and told us hed had enough....,3,3,3,4
back to the way things are suppose to be,5,6,2,1
well orlando couldnt come through but its all good tomorrow starts a new fun filled week of work,4,4,2,1
phone blowed up today need phone numbers please,4,5,1,1
Can't find wat I'm lookin for,4,4,2,1
is bye bye wisdom teeth!!,5,5,5,5
Hey yall. I'm going to tennis camp tommorow.,5,5,3,1
"sitting next to her,watching her smile,talk,laugh,kiss,hug makes me feels stronger and warmth. is as if half my life belongs to her. finally,we meet again.. after so long you've been missing from my view.. im ready to take to the next level.. it may take lots of consequences but for the sake of love and trying,i will try. you are my drug, and my only personal brand of heroin.",7,8,2,3
"Netflix movies that arrived today: Fool's Gold\ and \""Definitely""",5,5,1,1
IT'S 7:00 AM I'M UP WATCHING CSI MIAMI (FAV SHOW),6,6,4,5
Thanks for all the wonderful Birthday Wishes!  I am having a great day with my most precious gift ever!!,7,8,7,6
going to get my husband going to get my husband !!!! I LOVE FRIDAYS but i sure do hate sunday nights :(,4,7,8,7
i cant seem to escape the neonatal vehicle,4,5,2,1
Thank you for the birthday wishes! :),6,7,5,5
:'(,3,2,1,4
Insomnia again...I'm too tired to sleep...my head aches....I feel beat up...,4,3,1,2
"At last, the sun is beginning to set later.  4:43 yesterday; 4:44 today.",5,5,2,1
I love life,6,9,1,1
"I have made an observation: the more senior the person, the more smartly dressed they are during the day, but interestingly, the more casually dressed they are in the evening.",5,5,2,1
Fake(+)(+) Perfect (o)(o) Perky (*)(*) Cold (^)(^) and even Grandma's \\./\\./ Big ( o )( o ) or Small (.)(.) Save them all! Repost for Breast Cancer Awareness!,6,6,4,4
Holiday world is going to be a beast,6,4,3,1
