Anonymized Message,Valence1,Valence2,Arousal1,Arousal2,Predicted Valence,Predicted Arousal
Is going to 2sea for 2 days with his big brother any 1 need anything from there ?,5,5,2,1,6.6933333333333325,5.061333333333333
time for new scientist and chips b4 i head to manc i think,5,5,2,1,6.438400000000001,4.4528
Already tired. Been quite the strenuous day,4,4,2,3,3.528,4.322666666666667
It's really been a great summer so far and Ive been to the beach for a week and it feels so good to be sitting at a computer!!!!!! Thank you GOOOOOODDDDDD. What would we do with out phones or computers???? We would be at home and just sitting there. I cou,6,7,8,8,6.778666666666667,3.8208
getting ready for a day out with my boys! Astro Boy then pizza :-),6,7,6,4,6.9639999999999995,3.878
is experiencing the moment where you've read pages and have no idea what you just read. :(,4,3,3,1,6.7456000000000005,4.0847999999999995
Raiders extend Richard Seymour 2yrs/30mil! Now we can franchise Zach Miller! YES!!!!!!!!!! NOW RESIGN NNAMDI!!!!!!!,6,7,8,9,5.441999999999999,4.746
<PERSON> been talking to Zac Efron on her banana phone for the last 20 minutes.  They're fighting... again.  He's such a tool.  I miss the days when her imaginary boyfriend was Ping from Mulan.,4,5,2,1,5.578,4.817
"Hey guys do you remember Sunday Basket\ well it's back in the Croisee in the form of \""JAPS\""!!!\""""",5,6,6,7,5.837333333333333,3.730666666666666
Stupid computer still isn't fixed. Text me @ <PHONE>Hopefully it will be working by this weekend.,4,4,2,1,6.175000000000001,4.048
@ home...just chillin...I needed to come home...,6,5,2,3,6.828,3.302
PREDATORS.,5,5,5,1,1.0,1.0
"its all fire and brimstone baby, so lets go outside, whatcha know bout the ways on the underside...???<3",5,6,3,4,5.280000000000001,5.410285714285714
"if i know what love is,it is because of you....",6,8,2,3,8.06,4.52
"Mexican food is good. 	Mmm, chimichanga.",7,6,2,2,8.304,3.768
"modern warfare 2, I will have it soon!",6,6,6,4,5.744,5.21
"had a fun time at the corn maze tonight, and glad to not have spent his Sat. night at time.",6,6,2,1,6.1084444444444435,4.612444444444446
So...who wants what for Xmas now that Turkey day is over?,5,5,2,1,7.024000000000001,4.2826666666666675
"is getting sick of explaining her hair, her summer, and her fear of driving over and over. on the bright side, her love life has only been prodded at once in the two hours shes been there",5,3,3,3,5.74488888888889,4.53688888888889
"good night, i hate you all, especially you.",3,1,2,5,5.1786666666666665,5.176
"Confront the dark parts of yourself, and work to banish them with illumination and forgiveness. Your willingness to wrestle with your demons will cause your angels to sing. Use the pain as fuel, as a reminder of your strength.Ã¢â‚¬Â",7,7,2,1,5.091764705882352,5.380705882352941
Remember to VOTE. 06/08/2010,5,5,1,3,6.432,4.688000000000001
"The Lord will conquer your enemies when they attack you.  They will attack you from one direction, but they will scatter from you in seven!  Deuteronomy 28:7",6,6,1,4,5.465454545454546,5.237818181818182
trying my best to finish the book and send it off to the publisher.  Wish me luck all.,6,5,2,1,6.509333333333333,4.445333333333334
O mi wrd!!!! am sooooo tired from job-shadowin! Da KFM studio is kick-ass! Luv da grafitti wall,5,8,5,7,4.2506666666666675,3.218666666666667
every obsticle making possible possible even when winning is ilogical losers still far from optional,5,5,2,1,7.172,4.388
thanks to everyone for the birthday wishes,6,6,3,1,8.548,6.264
"So, I should specify, I am NOT alone. <PERSON> did travel with me.  I was just so absorbed in my own self pity, I forgot to mention he wasn't too thrilled either.  But, the luggage has been found, it is on its way and I am going to take a nice long bath and drown my sorrows in it!  Ooh and they have some good smelling shampoo and stuff!  I am psyched!",6,7,5,5,5.983619047619048,4.377904761904762
firstlove now published..! pki abangan on BoOksie web.. hope you like it!,6,6,5,4,6.792,4.02
"what a great day i had today. found out my raise took into effect for fridays paycheck. won the check pool for $176. had a great cake class and made a wonderful cake. and i think i am getting the hang of my new job at work. not too shabby! oh and josh is burning wood and dring beer friday night, he said whoever wants to stop by is more than welcome just bring your drinkage and let me know if you need directions!",7,9,4,4,6.353806451612904,4.935741935483872
I'm so glad this week is over! can't wait till Sunday!,6,7,6,5,5.700799999999999,3.6895999999999995
LOVE IS THE LAW!!!,5,8,8,9,7.96,5.436
i just ran a bunch. it was so fun,6,6,3,1,6.88,5.804
"Rest in peace Grannie, you'll forever be loved and missed.",6,7,2,1,7.886,3.03
Why was the washing machine laughing? Because it was taking the piss out the underpants.,5,5,3,1,5.5776,4.8832
enjoyed the CWG opening ceremony: colourful and diverse. and mercifully showcasing india's culture without bollywood!,7,6,5,4,6.484,4.784000000000001
Is there such a thing as earlobe cancer?,5,5,2,1,3.004,4.664
I like your hips,6,6,1,1,6.752000000000001,3.824
"The presence of a friend is a coversation itself\\""""",6,5,1,1,8.120000000000001,4.3759999999999994
"97% of teens would cry if they saw Robert Patterson (Edward Cullen from Twilight\) standing on top of a sky scraper about to jump. If you're one of the 3% that would sit there""",4,3,1,3,5.506666666666667,4.554
GOD IS NOT A MAN THAT HE WOULD LIE. HIS WORDS MUST COME TO PASS IN OUR LIFES. IT IS WELL HALLELUYA!!!,6,8,8,9,5.226,4.273000000000001
did i mention how much i hate homework at home,4,3,2,3,4.686,4.698
"Hawkey team!!!Anyone want to watch the game , please contact me .I'll join you!!!",6,7,6,7,6.457333333333334,5.1866666666666665
Mmmm cinnabon cereal!!!,6,7,6,7,5.896,2.648
<PERSON> is going to <PERSON> house 2 c the boy in the striped pajamas. <PERSON> is coming with!,5,6,5,4,5.718400000000001,3.3792
A little worried- <PERSON> is up in Big Bear I keep trying to call but have been able to reach him.  I am currently tracking the weather and am worried out of my mind.,4,2,3,5,5.532000000000001,5.13
"99 cent beer for happy hour at gyu-kaku is the shit ,-D",7,6,4,3,5.1328000000000005,5.3184000000000005
I wish they would show the cheerleaders more between plays...,5,5,2,3,6.165333333333333,5.709333333333333
<PERSON> burnt the rice.  Sipsie liked it though!,5,6,4,3,3.996,4.684
ah i love steve nash!,6,6,5,4,9.0,5.152
Hope I'm Having a girl this time!!!!,6,6,7,7,7.056,4.138666666666667
anyone know a reputable independant communittie or thougth of what i should do?,5,5,3,1,6.909333333333333,4.656000000000001
"Angle of god,  my guardian dear,  To whom God's love commits me here, 	Ever this day be at my side, To light and guard, to rule and guide.  	Amen.",6,5,1,1,6.576615384615385,4.100307692307693
"Getting over painful experience is much Like crossiiing monkey bars. you have to let go at some point in order to move forward.\ :) --TARAAAAAYYY!\""""",6,7,5,7,5.8269090909090915,4.572363636363637
not to sure if i like facebook,5,4,2,1,6.772,3.492
About to go run on this beautiful day then working with the tiny babies tonight :),7,8,3,1,6.153333333333333,4.856
"Okay, now the dog is bugging out. He must be bored as hell cuz now he's playing fetch wit a shitty diaper. LMAO What happened to the stick?!",6,5,6,5,4.282400000000001,4.4967999999999995
"Had Greek food today, it was great",7,6,2,1,8.072,4.453333333333333
is watching her husband zoom pass the window on a small pink quad bike,5,5,1,3,5.888999999999999,4.035
Actually getting engineering..,6,6,1,1,6.88,4.768000000000001
hey i got accepted into edinboro...it is awwssoommee!!!! im excited,7,7,8,6,8.264,8.448
"is excited to get away for the weekend with <PERSON>, <PERSON>, <PERSON>, and <PERSON>.",6,6,4,1,7.645333333333333,6.733333333333333
is annoyed at her stupid neighbors for practicing piano @ 10 o'clock!!! go 2 sleep u freaks!,3,2,6,6,4.4719999999999995,4.4672
My band just put up some demos of some of our songs so im really exited. The ony thing is its just guitar cuz i have like 20 hours of school and 50 hours of hw and now i get to go to work yay!,6,6,6,4,6.188666666666667,4.636666666666667
that damn sad cows won't go away!!!,4,5,7,7,3.154666666666667,5.1546666666666665
Non-dairy creamer is flammable.,5,5,1,1,4.24,4.968
Game at 3 a clock tommorow have to be there at 830 because of brothers game :[,4,4,3,2,6.7184,4.8048
is starting to get obsessed with heavy metal concerts.,5,5,2,1,4.5200000000000005,5.6339999999999995
had a blast at Flirty Girl Fitness!,6,7,6,4,5.992,6.502
Has decided that her new friend has it out for her. I think she wants to kill me!!,4,3,7,5,6.322,5.504
well yay stupid at&t broke my internet =/,4,4,3,3,4.664,5.274
knows I've done well when I terrify people on my husband's page.....I will sleep well tonight :),5,6,3,3,5.4,4.2176
is thankful for all the birthday love. 30 has been pretty good to me. I had agreat b-day!,7,8,5,4,8.601600000000001,5.1456
"Well, today was a pretty crappy day at school. But then I shared some laughs with my best friend. :D",5,6,4,3,6.625142857142857,4.8342857142857145
wondering which of the 4 movies I hire to watch first        1. The New Daughter (Thriller) - Kevin Costner        2. Crazy Heart (Drama) - Jeff Bridges & Maggie Gyllenhaal        3. The Bounty Hunter (Action) - Jennifer Aniston & Gerard Butler        4. Cirque Du Freak: The Vamipire's Assistant (Family) - Willem Dafoe & Salma Hayek,5,5,1,1,5.811555555555555,5.703555555555556
done with everyones games!!!!!!!!,4,3,9,9,1.0,1.0
i feel invisibe. ugh fml!,2,2,6,5,7.416,5.816
had an usual day and night with <PERSON>,5,5,2,1,6.178666666666667,3.3626666666666667
I had a great day with <PERSON>and family today!,6,7,5,4,7.902,4.246
no rain - no rainbow.,5,6,1,1,6.68,3.952
Christ on a bike... when will this cold go away?!?!,4,3,6,7,5.952,4.8351999999999995
is addicted to Dragon Age.,5,5,1,1,4.354666666666667,5.690666666666666
"on 2nd july,2009...gayism was legalised by HC...was it intended 2 b ma b'day present frm HC...gosh..it took me sooo long 2 realize dis..:P",5,5,3,3,5.856000000000001,4.286
"OMG, I was just singing along to Taylor Swift. What is WRONG with me?!?!",4,5,7,8,5.498666666666667,6.205333333333333
College Night is Tonight @ Cabanas!! $1 kamikazes and $2 well!! Plus live performances from Schofield!! Let's get crazy!!,6,6,7,7,5.9184,5.7568
Experience is simply the name we give our mistakes.,5,5,2,1,6.37,3.8240000000000003
wishes she was going to North Carolina with her gorgeous sisters<PERSON> and <PERSON>.,5,5,2,1,6.804,4.26
Tengen Toppa Gurren Lagann... it will make any day better,5,6,2,1,6.602666666666667,3.925333333333333
"<PERSON>of KLBJ radio here in Austin took time out of his busy schedule to try and help me find a donor using facebook and the radio. I think thats bad ass. Thanks so much, <PERSON>.",7,7,3,3,5.664000000000001,4.87323076923077
A Lonely September Ã¢â„¢Âª,5,4,1,1,3.0,2.808
So that was fun.....,5,6,1,3,8.344,7.744
"It is for the best consideration of that child.  If the couple were seperated, then he/she would be saddened that the father/mother might not be around as much as they are needed.  This is bad for the child.  Most of the times when miscarriages are reported, the couples are not married.  Again this isn't bad, but God has a purpose for you in life, and that could be His way of telling you to reconsider your choices.",6,4,2,3,6.126181818181817,4.449454545454546
"haha, im so sure this is gunna be a great year! gunna have FUNN!!!!",6,8,7,8,6.841600000000001,3.9568000000000003
I hate getting the stomach flu i would rather have a severe cold for a week,3,4,2,1,3.95,5.056
thank you,6,5,1,1,8.664,3.824
OOO! OOO! OOO! OOO! Come On! <URL>,5,5,6,8,5.232,3.1519999999999997
"Thanks everyone for the comments and i had a great day today, even though i had to go to work lol",7,7,5,1,7.173333333333333,4.665333333333333
<URL>,5,5,1,1,1.0,1.0
hates the Lakers. Hates.,3,3,2,3,1.0,1.0
"Ã¢â‚¬Å“With a full glass and an empty heart, I search for something to occupy my mindÃ¢â‚¬Â",5,3,2,1,5.184,4.256
"Tupac might be gone bah he will always be alive in me and everyone out der who has feelins fa G! I rest my case,and say that he was and still remains a true soldier up der in da ghetto heaven",5,6,2,4,6.013538461538461,4.019076923076923
the boring life is back :( ...,3,3,2,3,5.133333333333333,4.16
ok this is big for mi. its been one week since i smoked a cig. im so happy for myself. plus  i walked 2 miles today . gotta walk 2 more tonite,8,8,3,3,6.737333333333333,4.418666666666667
"Okey dokey, time to scan this newspaper of mine...",5,5,2,2,5.746,3.8240000000000003
sometimes people put up walls,5,4,1,1,5.496,4.192
Happy thanksgiving to all my fb friends and family !,7,6,6,4,8.648,5.154
"Was doing course evaluations for MedSoc and came up the question Instructor maintained positive environment in class\ - very nice timing for the video\""""",5,5,2,1,6.638999999999999,4.247999999999999
"Nevr criticize ur bf's faults,rembr it may hv been these litle imperfections dat stoped him frm geting a beter gf....",5,6,2,1,4.388,4.9239999999999995
Just wanna curl up in a ball to sleep and hope when I wake up ill magically feel a hundred percent,5,4,2,1,5.817777777777778,4.100444444444444
flying back to bangkok for a shoot...,5,5,1,1,4.752000000000001,6.026666666666666
:) haha thank youss,6,7,4,3,8.664,3.824
Merry Christmas!!!,6,6,6,6,8.752,6.004
loves her favorite roomy <PERSON>,7,6,2,1,7.58,4.728
"<PERSON>broke her leg,oops she won't want to do that again!!!!!!!!!!",3,4,8,9,5.192,5.306
does anyone know the secret to happiness and peace?  because i sure as hell dont.,4,4,2,3,6.182666666666667,5.022666666666667
what a beautiful tuesday morning...y duty...weeee :D,7,7,4,4,6.23,4.224
Varsity Athlete,5,5,1,1,6.9639999999999995,6.247999999999999
"FACEBOOK TRICK: press up,up, down, down, left, right, left, right, B, A, Enter key, then left click and magic crcles will appear. the only way to get rid of them are to log off or refresh the page...IT WILL WORK! put this as your status if it works. <-- freaked me out so bad. :O",5,5,4,5,5.355428571428571,4.613714285714286
What's on your mind?,5,5,1,1,6.2,4.103999999999999
people on my wall  if you read this please name your favourite tractor,5,5,1,1,5.452799999999999,3.9008000000000003
severe anger,3,1,2,3,2.324,7.4
bed time nite world,5,5,1,1,5.88,3.28
"JUST GOT LAID OFF AND NEED TO FIND SOME WORK, WHAT A NEW YEAR",4,1,5,8,6.539199999999999,4.998399999999999
"If you dont like the new FB, here is how you can change it back to the old. Look to the top left menu and click on MORE. Then drag STATUS UPDATES to the top. After dragging to top, click on it. That becomes your default and it is like before. Pass it on",5,5,2,1,5.868631578947367,4.147368421052631
"Thanx everyone, rite now i'm with <PERSON>, <PERSON>, and <PERSON>",6,5,2,1,4.023999999999999,5.56
Thanks for all the happy birthdays!!!!!!!!!  :),7,8,7,9,8.672,5.828
Go WV!,6,6,6,5,5.08,4.5280000000000005
"Is there some kind of tutorial for Facebook?  If so, will someone please send it to my Grandma?  She needs a little extra help. (Just kidding, g-ma-Chris and I will keep helping you.)",5,5,4,2,6.4584,4.0775999999999994
"ever learn something you really wish you didnt, nvm",4,5,3,3,7.4159999999999995,5.904
.You think the only people who are people are the people who look and think like you.,4,4,2,3,6.510857142857143,4.1977142857142855
SICK AGAIN !!!! HATE IT !!!!!,3,2,8,9,1.54,5.932
thanks for all the birthday wishes yall!!...... srry im alil late on the thank u's!,6,7,6,7,7.18,5.054
Bmx starts next week.,5,5,1,1,5.08,2.848
Its finally FRIDAY!!!!!!!,6,7,7,8,5.827999999999999,4.376
I DID NOT WANT SNOW AS A BIRTHDAY GIFT TODAY...... I WANTED A PONY......,4,3,5,7,7.406666666666667,5.142666666666666
what kind of bees make milk...,5,5,2,1,6.962000000000001,4.13
homework SUX!!!! WHY DO TEACHERS TOURCHER US THIS WAY?!?!?!?!?!?!,4,1,8,9,4.904,4.532
Through god all things are possible........ yet our greatest treasure....... most turn away....... they turn away gods love....... i say that we have a purpose and that through god we can accomplish it........... dont turn away from the savior........ he will make like good....... peaceful......... as the world hated him they will hate us as christains.......... i speak for my self that when he calls my name,5,5,2,3,6.610285714285715,4.458
I NEED A JOB!!!! anyone know of anything?,5,4,6,8,6.2506666666666675,4.936
Happy Birthday Taylor. I love you.,7,7,2,1,8.917333333333335,6.594666666666668
Zzz... SOOOOOO tired... Having 3 camps in 1 week... I think no need to workout liao...,4,5,3,3,5.4784,4.771199999999999
i really need a house cleaner this is a disaster!!!!!!!!!,4,3,8,8,4.566000000000001,5.314
falling asleep to my country music <3 good night!,6,7,3,5,6.163999999999999,4.382666666666667
I'm selfish,4,4,1,1,1.488,6.096
"All night with <PERSON> and <PERSON> at <PERSON> to see Combichrist.  FUCK I LOVED THE SHOW.  Absolutely need to pass out, long work week + six hour concert = TIRED AS SHIT",5,7,5,6,5.2325333333333335,4.827733333333333
manu sailing smoothly :),6,7,3,3,6.952,3.616
"hot, scared, nd a lil sweaty.  all in all it was a good day.",6,6,2,1,5.118399999999999,5.392
"Saturday-work, mani and pedi, long bike ride with <PERSON>-<PERSON>-<PERSON>-<PERSON>-<PERSON>, b-day pary at 4, b-day party at 6.  So much fun. Sunday-Laundry,cleaning,Colts game, and bike ride. What a fun and busy weekend.",6,8,2,1,6.9526666666666666,5.745333333333333
"I'm stronger because of my hard times, wiser because of my mistakes, happier because of my sad experiences, and smarter because of my moments of confusion",7,7,2,1,5.073333333333333,5.525333333333333
i'm happy and sad at the same time... di kaya nababaliw na ko? ^^,5,5,2,3,5.8773333333333335,4.616
don't you hate it when you want nothing to do with someone and they just keep coming back no matter what you do? It drives me crazy!! Will they ever get the hint.,4,3,7,5,5.353333333333333,5.089333333333333
hi everyone i have nothing to say so i will say hi everyone,5,5,3,1,6.194,3.834
is wondering if I will ever get a job.....seriously.,4,4,1,3,6.685333333333333,5.114666666666667
"I've got a soul that cannot sleep\ ! :D\""""",6,6,5,4,6.956,2.24
Tired of <PERSON> saying I look like a asian lol :'D,5,6,4,4,5.168,3.9306666666666668
"just got home, had a fun time running today",6,6,2,1,7.2592,5.104
"Success without a positive attitude is called Luck, but Success with positive attitude is called Achievement 	All we need is positive attitude.",8,6,3,1,7.789090909090908,6.159272727272727
"If you died today, who would be taking care of the arrangements and would he or she be paying for it...that is what is on my mind.  Due to my new profession, I am currently welcoming any and all death jokes (okay, maybe not all, I would rather not have my",5,5,2,1,5.734399999999999,4.426666666666667
is bored and many going to start her science project,5,4,1,1,5.3,3.976
"had a great time at the wedding! Yankees up 2-0, big game tonight i'm nervous as hell! i wanna spank that damn rally monkey tonight!",6,7,6,5,5.0538181818181815,6.573818181818181
can't wait for thanksgiving and also to see what my daughter thinks of all the lights and decorations of christmas!! she will also be 7 months old!!,6,7,7,5,6.4942222222222235,3.868444444444444
Sigh.....,5,4,1,2,4.752,4.096
I am drunk lmao XD and Happy almost st Paddy's day in Cali... like 12 minutes till then :P,6,7,4,4,5.9952,4.9744
"... chocolate peanutbutter ice cream, yes please!! ...",6,6,5,5,6.367999999999999,3.6773333333333333
Man it been a long time since i posted sum n on hear but im to happy i got two mo weeks before i welcum my baby gurl n to dis world im ready n spongebob voice lol,6,8,4,1,6.620363636363636,4.099636363636364
We begin from the recognition that all beings cherish happiness and do not want suffering. It then becomes both morally wrong and pragmatically unwise to pursue only one's own happiness oblivious to the feelings and aspirations of all others who surround us as members of the same human family. The wiser course is to think of others when pursuing our own happiness.,5,6,2,1,5.898666666666666,5.777333333333333
yeah:) i totally did. tired of being lonely... so very tired,6,5,2,3,3.6399999999999997,3.564
being cooked in this heat,4,4,1,3,5.272,5.896
im finally here. after 5 long days,6,5,4,1,5.496,4.144
"Wow, I haven't been on here for a while. Thank you everyone for the Happy B-Day congrates\. ^-^\""""",7,5,4,1,8.832,5.352
I love this music video!!! <URL>,6,6,7,6,7.610666666666667,5.4239999999999995
"No work today, Lucky me :)",6,7,2,1,7.626666666666666,5.032
"Name:___________ Age:________Birthday:___________Eye color:_________ Nickname:___________ Favorite color:___________ Favorite Drink:________ My best friend:________Post this to your wall and see who all comments,and who knows you best",5,5,1,1,6.508363636363636,4.069090909090908
Going to play football in a little bit!,6,5,4,1,5.758000000000001,4.99
Bama going to kick some ass,5,5,4,2,3.376,7.164
today is the 12th anniversary of James proposing to me on the beach near san diego... :o)  So happy he asked!!  <3,7,8,5,5,8.142,5.68
"You make my heart skip beats, you make me nervous before I see you, you make me feel so alive when I'm with you, I still get butterflies when we kiss and I love it all. I love you <PERSON> =)",7,9,4,1,6.865846153846154,5.515076923076923
"Day 4 menu: Sausage , egg and CHEESE biscuit, lunch: bacon and CHEESE burger, snack: Hashbrowns with CHEESE.........Day 5 idk!   I'm starting to get the bubble guts.....my stomach is doing strange stuff.....lol",5,4,3,3,6.358315789473685,4.082105263157896
Sleepy,5,5,1,1,5.832,2.0
Just saw this chinese dude get off the metro with chinese food in his hand...and was about to go make a delivery LMAO....he was all in a hurry dwl,5,6,3,1,5.991111111111111,4.720888888888888
"loving myself is simple, but letting someone else love u is so hard.",4,4,2,1,6.806,4.938000000000001
"1 final down, 1 to go!",5,6,5,4,3.6506666666666665,4.589333333333334
4 days til Indiana:),7,7,2,2,1.0,1.0
"back at home, and back to reality....",5,5,1,2,6.032,3.682
there is a fine thin line between wrong and right.,5,5,2,1,5.183999999999999,3.7056
has anyone taken the history finals?,5,5,1,1,6.832000000000001,4.056
Happy Thanksgiving,7,5,2,1,8.708,5.736
<PERSON> u have issuse lmao,5,6,3,2,7.056,4.112
this is how you remind me,5,5,1,1,6.768,4.32
It smells delicious outside... like breakfast..,6,6,2,1,7.749333333333333,4.554666666666668
down in MD in my sis.. with a big cockatoo on my hand.. while typing.. had a great day with our cousin.. wish I never had to go back to work.. dreams.. dreams.. oh and we got<PERSON>.. yippe!,7,7,5,3,6.381333333333333,4.575333333333333
drama...drama...and more drama....I am done!,4,4,6,5,4.4399999999999995,7.04
"Ughhh, I wish I could stop coughing already! Being sick is horrribllleee. About to watch some television with<PERSON> then falll asleeepp. :) <3",4,7,3,4,4.7104,4.6176
Ind Vs Srilanka - A Thrilling match in progress....India need 65 ..5 wickets in hand..,5,5,3,2,6.537599999999999,5.688
needs a lobotomy!,4,5,6,4,3.3680000000000003,5.784
"In the land of the blinds, One eye man is a king.",5,5,1,1,5.832,4.0944
had my gps for less than a day and I already broke it. Good thing Garmin is nice and going to send me a brand new one.,6,5,2,1,5.984,3.9415999999999998
Do you ever feel like you have a lot of people in your life but very few who understand you?,4,4,2,2,6.761,4.496
had forgotten how much fun the kids are - especially in PE! I am exhausted!!,6,6,7,5,5.226000000000001,5.092
DONE,5,5,4,5,1.0,1.0
i laugh again why the fuck was i upset in the first place i wasnt even shocked wow im so over that :) i am very happy today it was just ordinary day again,6,8,3,3,5.5112000000000005,5.324000000000001
"Ã¢â€¢â€Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢Â Ã Â³â€¹Ã¡Æ’Â¦Ã¢ËœÆ’Ã¡Æ’Â¦Ã Â³â€¹ Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢â€”	It's Sons Week! If you have a beautiful son or sons that you	love more than you can describe, copy and paste this to your	status for a little while, but hold them in your heart for a lifetime	Ã¢â€¢Å¡Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢Â Ã Â³â€¹Ã¡Æ’Â¦Ã¢ËœÆ’Ã¡Æ’Â¦Ã Â³â€¹ Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢Â",6,7,4,4,6.275428571428572,4.218285714285714
Today has to be the most boring day of this entire summer hands down. :/,4,3,2,4,5.683428571428572,3.510857142857143
hi,5,5,1,1,1.0,1.0
Homework,5,5,1,1,4.168,4.296
I'm so having the case of the Mondays. 5 am is toooo f'in early.,4,4,3,3,5.24,3.592
Happy Happy Happy !!!!,7,9,7,7,9.0,6.88
Time to go shovel the snow.,5,5,2,1,5.416,3.8000000000000003
"It's 4am, I'm been up for more than 24hrs and I still can't sleep :(  Insomnia sucks.",3,3,2,3,3.7520000000000002,4.690666666666667
Wow the AFC SUCKS PROBOWL SUCKS THIS YEAR,4,3,4,6,3.058666666666667,5.3999999999999995
Having fun in India!,6,7,5,4,8.344,7.744
Relationships are like glass. Sometimes it is better to leave them broken than try to hurt yourself putting it back together......:),5,6,3,2,4.6240000000000006,4.641
It's all gone! :-{,4,4,5,4,3.336,2.84
i love farmville  pero nakakapagod din ang mgtnim at mghrvest..hehehe,6,6,3,2,6.76,4.744
Partey!!! <3,6,7,7,6,1.0,1.0
uhhh! this homework! its killing me.,4,3,5,5,2.904,6.484
Thanks so much for the birthday wishes everyone!!,7,6,6,5,8.548,6.264
I hope I get my voice back before saturday.,5,5,2,1,6.398,4.214
"I am perfectly imperfect, beautiful in my flaws, sure of my insecurities, absolute chaos..a beautiful disaster",5,7,2,3,4.738285714285714,5.971428571428571
of course not! youre brain washed!,5,4,5,5,5.836,4.02
school is so boring is it to early to want it to be spring break,4,4,2,1,6.005714285714285,3.891428571428571
"Miss <PERSON> (as I hand out the new spelling lists): Don't lose your spelling lists because there are no more copies of these bad boys.\  Class (whispers and head bobbing): \""Bad boys""",5,5,2,1,4.8168,4.6656
I'd very much like some peach pie or peach cheesecake right now.  Somebody make this happen plz.,5,5,2,1,6.968,4.433
I really wanted chicken and brown beans.,5,5,2,1,4.96,3.032
Common tests are 0000vvverrrrrrrr :DDDDDDD,6,8,4,7,5.8,2.016
Almost feeling better!! damit hurry up already with this cold!!! so I can drink this weekend!!,6,6,5,7,6.042666666666666,5.185333333333333
Examining oral cavity anatomy tomorrow (only after cutting a head in half). Bring it on!,5,5,4,4,5.463,4.181
thinking about going blonde.. hmm needs a bloody job,5,5,2,2,5.286,5.608
Eating with the famz...,5,5,1,2,7.776,4.928
Thanks for all the birthday wishes. It was a great one.,7,7,2,1,7.773999999999999,5.546
Gonna clean out my car today... maybe they will take it as a trade in later this week.. maybe not,5,5,1,1,6.721142857142857,4.126857142857142
"in brawl the two excuses my brother uses after he loses is im not even trying\ and \""you got lucky\"".\""""",5,4,2,1,5.814,5.218
3hrs  2 go n then im 14,5,5,1,1,5.08,4.5280000000000005
think am falling in love with Mauritius ...and its cultural diversity..,5,6,1,3,6.7536000000000005,5.008
Thanks for all my birthday messages. Im pretty bummed out that I'm closer to 30 than I am 20. I shall try to rid myself of that thought by drinking my body weight in frozen margeritas.....and thats a lot of margaritas!,6,4,4,4,5.755076923076923,4.5581538461538464
is looking forward to great weather & some waves for wednesday,6,7,2,1,7.458,4.901999999999999
"when you got nothin', you got nothin' to lose.",6,5,2,1,1.92,5.303999999999999
why do ppl continue to complain about situations that they created themselves...u chose to be with this man/woman and u chose to have children so deal with the consequences,5,3,2,3,6.3324444444444445,4.866666666666666
Checking my salad for messages,5,5,1,1,7.0,3.08
"can't sleep, again.",4,4,1,1,6.752000000000001,1.72
">,-[)",5,6,1,4,1.0,1.0
Ã¢â„¢Â«i'm doing this for me so **** the whole universe!Ã¢â„¢Â« :),4,7,4,5,6.388,4.244
SOUTHERN HOSPITALITY! AIN'T NOTHING LIKE IT! EXCEPT NO SUBSTITUTES! LIVE AND LOVE IT!,6,8,8,9,7.4256,4.4352
is doing great.... lol. If I had learned this stuff when I was supposed to I guess I wouldn't have to cram right now. Oh well. There's always next year... or grade 12.,5,4,4,2,6.0488,4.5600000000000005
"hey guys, just got bak on my first day of skiin",5,5,3,1,6.376,4.076
would love to go back to bed.,5,4,1,1,5.872,4.0368
"i'm gonna stick through all my plans for now on, nothing and no body is gonna keep me away from thats!!",6,6,6,5,5.810666666666667,3.989333333333333
just got my phone set up 4 facebook yay!\\n\\n,6,7,4,5,6.184,4.736000000000001
"Huge news guys!!!  Unfreakinbelievable....I am having twins!!! Where the hell did these come from?! friends! Help! Soooool, Jeniang!!!  Help!!!",7,5,8,8,5.79,5.317
